[--] ----------------------------------------------
[--] CANreal Save Frames Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\Sergiu\Desktop\aaa.csplog
[F2] Split file series:       	aaa.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	2093
[F7] File date:               	24.05.2023
[F8] File time:               	15:41:40
[S1] Hardware:                	1000
[S2] Driver:                  	2700
[S3] Firmware:                	1100
[S5] dll:                     	5006
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8/10  (6,2,9200,2,[])
[SE] Application:             	CANreal
[S9] App version:             	8.71
[SA] Features:                	0972 (2b Ts Lo St)
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[SC] Controller:              	LPC
[SD] Board serial:            	HN007737
[C1] Net number:              	0
[C2] Bitrate:                 	500.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Desc	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel	Desc	     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
         154	    	15:41:28	218.046	         29.929		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         155	    	15:41:28	248.100	         30.054		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
         156	    	15:41:28	278.087	         29.987		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         157	    	15:41:28	308.041	         29.954		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         158	    	15:41:28	338.036	         29.995		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         159	    	15:41:28	368.118	         30.082		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         160	    	15:41:28	398.040	         29.922		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         161	    	15:41:28	428.125	         30.085		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         162	    	15:41:28	458.085	         29.960		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         163	    	15:41:28	488.036	         29.951		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         164	    	15:41:28	518.104	         30.068		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         165	    	15:41:28	548.041	         29.937		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         166	    	15:41:28	578.119	         30.078		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         167	    	15:41:28	608.045	         29.926		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         168	    	15:41:28	638.016	         29.971		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         169	    	15:41:28	668.020	         30.004		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         170	    	15:41:28	698.131	         30.111		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
         171	    	15:41:28	728.095	         29.964		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         172	    	15:41:28	758.023	         29.928		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         173	    	15:41:28	788.116	         30.093		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
